Timestamp,Prediction
0.10,0.11
0.20,0.01
0.30,0.00
0.40,0.00
0.50,0.00
0.60,0.00
0.70,0.00
0.80,0.00
0.90,0.00
1.00,0.00
1.10,0.00
1.20,0.26
1.30,0.03
1.40,0.02
1.50,0.06
1.60,0.53
1.70,0.23
1.80,0.00
1.90,0.00
2.00,0.00
2.10,0.00
2.20,0.00
2.30,0.00
2.40,0.00
2.50,0.00
2.60,0.00
2.70,0.00
2.80,0.00
2.90,0.00
3.00,0.00
3.10,0.00
3.20,0.04
3.30,0.01
3.40,0.00
3.50,0.07
3.60,0.04
3.70,0.04
3.80,0.01
3.90,0.01
4.00,0.00
4.10,0.00
4.20,0.00
4.30,0.00
4.40,0.00
4.50,0.00
4.60,0.00
4.70,0.00
4.80,0.00
4.90,0.00
5.00,0.00
5.10,0.00
5.20,0.02
5.30,0.00
5.40,0.00
5.50,0.00
5.60,0.01
5.70,0.01
5.80,0.66
5.90,1.00
6.00,1.00
6.10,1.00
6.20,1.00
6.30,1.00
6.40,1.00
6.50,1.00
6.60,1.00
6.70,1.00
6.80,1.00
6.90,0.06
7.00,0.01
7.10,0.00
7.20,0.00
7.30,0.00
7.40,0.00
7.50,0.00
7.60,0.00
7.70,0.00
7.80,0.00
7.90,0.00
8.00,0.00
8.10,0.00
8.20,0.00
8.30,0.00
8.40,0.00
8.50,0.00
8.60,0.00
8.70,0.00
8.80,0.00
8.90,0.00
9.00,0.00
9.10,0.00
9.20,0.00
9.30,0.00
9.40,0.00
9.50,0.00
9.60,0.00
9.70,0.00
9.80,0.00
9.90,0.00
10.00,0.05
10.10,0.01
10.20,0.00
10.30,0.00
10.40,0.00
10.50,0.00
10.60,0.00
10.70,0.00
10.80,0.00
10.90,0.00
11.00,0.00
11.10,0.00
11.20,0.06
11.30,0.08
11.40,0.03
11.50,0.01
11.60,0.04
11.70,0.00
11.80,0.00
11.90,1.00
12.00,1.00
12.10,1.00
12.20,1.00
12.30,1.00
12.40,1.00
12.50,1.00
12.60,1.00
12.70,1.00
12.80,1.00
12.90,0.69
13.00,0.00
13.10,0.00
13.20,0.00
13.30,0.00
13.40,0.00
13.50,0.00
13.60,0.00
13.70,0.00
13.80,0.00
13.90,0.00
14.00,0.00
14.10,0.00
14.20,0.00
14.30,0.00
14.40,0.09
14.50,0.02
14.60,0.00
14.70,0.00
14.80,0.00
14.90,0.00
15.00,0.01
15.10,0.00
15.20,0.00
15.30,0.00
15.40,0.00
15.50,0.00
15.60,0.00
15.70,0.00
15.80,0.00
15.90,0.00
16.00,0.00
16.10,0.00
16.20,0.00
16.30,0.00
16.40,0.00
16.50,0.00
16.60,0.00
16.70,0.00
16.80,0.00
16.90,0.00
17.00,0.01
17.10,0.08
17.20,0.02
17.30,0.00
17.40,0.00
17.50,0.00
17.60,0.00
17.70,0.59
17.80,1.00
17.90,1.00
18.00,1.00
18.10,1.00
18.20,1.00
18.30,1.00
18.40,1.00
18.50,1.00
18.60,1.00
18.70,1.00
18.80,0.00
18.90,0.00
19.00,0.00
19.10,0.00
19.20,0.00
19.30,0.00
19.40,0.00
19.50,0.00
19.60,0.00
19.70,0.00
19.80,0.00
19.90,0.00
20.00,0.00
20.10,0.00
20.20,0.00
20.30,0.00
20.40,0.00
20.50,0.00
20.60,0.02
20.70,0.02
20.80,0.00
20.90,0.00
21.00,0.00
21.10,0.00
21.20,0.00
21.30,0.00
21.40,0.01
21.50,0.00
21.60,0.01
21.70,0.01
21.80,0.02
21.90,0.10
22.00,0.02
22.10,0.00
22.20,0.00
22.30,0.00
22.40,0.03
22.50,0.02
22.60,0.00
22.70,0.00
22.80,0.00
22.90,0.00
23.00,0.00
23.10,0.00
23.20,0.02
23.30,0.00
23.40,0.01
23.50,0.17
23.60,0.12
23.70,0.00
23.80,0.07
23.90,0.07
24.00,0.48
24.10,0.06
24.20,0.00
24.30,0.01
24.40,0.00
24.50,0.00
24.60,0.00
24.70,0.00
24.80,0.00
24.90,0.00
25.00,0.00
25.10,0.00
25.20,0.27
25.30,0.99
25.40,1.00
25.50,0.98
25.60,1.00
25.70,0.97
25.80,0.89
25.90,0.97
26.00,1.00
26.10,1.00
26.20,0.22
26.30,0.69
26.40,0.00
26.50,0.18
26.60,0.61
26.70,0.15
26.80,0.27
26.90,0.01
27.00,0.01
27.10,0.01
27.20,0.00
27.30,0.00
27.40,0.00
27.50,0.00
27.60,0.00
