Participant,TrialNumber,Condition,Success,NumberOfTouches,NumberLateralChangesOfDirection,Duration,TimingBetweenLastTouchAndPass,AverageInterpersonalDistance,AverageInterpersonalDistanceAtPassTime
1,10,InSitu,True,4,1,1.9,0.5,5.54,3.69
1,1,InSitu,False,4,0,2.5,1.3,4.22,2.0
1,2,InSitu,True,3,1,1.9,1.0,4.47,2.07
1,3,InSitu,False,4,2,2.5,0.6,4.19,2.31
1,4,InSitu,True,4,4,3.3,0.8,4.79,3.68
1,5,InSitu,True,3,1,2.1,1.2,4.79,2.71
1,6,InSitu,False,5,2,3.5,0.6,3.68,2.1
1,7,InSitu,True,4,2,2.4,0.4,4.31,2.23
1,8,InSitu,True,6,1,3.2,0.3,3.86,2.05
1,9,InSitu,False,7,4,4.0,0.5,3.19,2.09
1,10,Interaction,False,3,1,1.9,0.8,3.81,2.4
1,11,Interaction,False,3,2,1.7,0.7,3.96,2.57
1,12,Interaction,False,3,2,1.8,0.6,3.94,2.62
1,13,Interaction,False,3,2,2.0,0.8,3.56,2.52
1,15,Interaction,False,3,2,1.8,0.7,4.05,2.53
1,17,Interaction,True,3,2,1.9,0.7,3.62,2.73
1,19,Interaction,True,3,1,1.7,0.6,3.82,2.3
1,7,Interaction,False,3,2,2.0,0.7,3.86,2.71
1,8,Interaction,False,3,2,2.0,0.8,3.76,2.73
1,9,Interaction,False,3,2,1.9,0.7,3.77,2.45
1,10,NoInteraction,True,3,1,2.0,1.0,4.13,2.95
1,11,NoInteraction,True,3,2,2.1,1.0,4.23,2.44
1,12,NoInteraction,True,3,2,2.0,1.0,4.15,2.79
1,13,NoInteraction,True,3,1,2.0,1.0,4.37,3.09
1,14,NoInteraction,True,3,1,1.8,0.9,3.87,2.57
1,3,NoInteraction,True,4,2,1.8,0.7,4.43,2.7
1,6,NoInteraction,True,3,1,1.8,1.0,3.97,2.71
1,7,NoInteraction,True,3,1,1.6,1.0,3.9,2.73
1,8,NoInteraction,True,3,0,1.6,0.9,4.4,2.84
1,9,NoInteraction,True,3,1,2.0,0.9,4.09,2.55
1,10,NoOpponent,True,3,1,1.4,0.8,0,0
1,1,NoOpponent,True,3,1,1.6,0.9,0,0
1,2,NoOpponent,True,3,1,1.9,0.8,0,0
1,3,NoOpponent,True,3,1,1.6,1.0,0,0
1,4,NoOpponent,True,3,0,1.2,0.8,0,0
1,5,NoOpponent,True,3,1,1.6,0.9,0,0
1,6,NoOpponent,True,3,1,1.3,0.7,0,0
1,7,NoOpponent,True,3,0,1.4,0.7,0,0
1,8,NoOpponent,True,3,1,1.5,1.0,0,0
1,9,NoOpponent,True,3,1,1.4,0.8,0,0
10,11,InSitu,False,12,4,6.1,0.7,2.57,1.09
10,12,InSitu,False,8,3,3.3,0.2,3.43,1.79
10,13,InSitu,False,9,4,5.4,0.9,2.9,1.92
